      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all
    -50.00    -20.00      27.492390       0.040152       0.040152        23      22.0      23.0       0.222827
    -50.00    -15.00      23.119301       0.055051       0.055051        23      22.0      23.0       0.222827
    -50.00    -10.00      18.746201       0.054192       0.054192        23      22.0      23.0       0.222827
    -50.00     -5.00      14.373100       0.061976       0.061976        23      22.0      23.0       0.222827
    -50.00      0.00      10.000000       0.045001       0.045001        23      22.0      23.0       0.222827
    -50.00      5.00       5.626900       0.024889       0.024889        23      22.0      23.0       0.222827
    -40.00    -20.00      27.492390       0.002304       0.002304        23      22.0      23.0       0.222827
    -40.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
    -40.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
    -40.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
    -40.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
    -40.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
    -30.00    -20.00      27.492390       0.000000       0.000000        23      22.0      23.0       0.222827
    -30.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
    -30.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
    -30.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
    -30.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
    -30.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
    -20.00    -20.00      27.492390       0.000000       0.000000        23      22.0      23.0       0.222827
    -20.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
    -20.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
    -20.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
    -20.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
    -20.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
    -10.00    -20.00      27.492390       0.000000       0.000000        23      22.0      23.0       0.222827
    -10.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
    -10.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
    -10.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
    -10.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
    -10.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
      0.00    -20.00      27.492390       0.000000       0.000000        23      22.0      23.0       0.222827
      0.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
      0.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
      0.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
      0.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
      0.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
     10.00    -20.00      27.492390       0.000000       0.000000        23      22.0      23.0       0.222827
     10.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
     10.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
     10.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
     10.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
     10.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
     20.00    -20.00      27.492390       0.000000       0.000000        23      22.0      23.0       0.222827
     20.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
     20.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
     20.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
     20.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
     20.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
     30.00    -20.00      27.492390       0.000000       0.000000        23      22.0      23.0       0.222827
     30.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
     30.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
     30.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
     30.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
     30.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
     40.00    -20.00      27.492390       0.001682       0.001682        23      22.0      23.0       0.222827
     40.00    -15.00      23.119301       0.000000       0.000000        23      22.0      23.0       0.222827
     40.00    -10.00      18.746201       0.000000       0.000000        23      22.0      23.0       0.222827
     40.00     -5.00      14.373100       0.000000       0.000000        23      22.0      23.0       0.222827
     40.00      0.00      10.000000       0.000000       0.000000        23      22.0      23.0       0.222827
     40.00      5.00       5.626900       0.000000       0.000000        23      22.0      23.0       0.222827
     50.00    -20.00      27.492390       0.041331       0.041331        23      22.0      23.0       0.222827
     50.00    -15.00      23.119301       0.033937       0.033937        23      22.0      23.0       0.222827
     50.00    -10.00      18.746201       0.016642       0.016642        23      22.0      23.0       0.222827
     50.00     -5.00      14.373100       0.031267       0.031267        23      22.0      23.0       0.222827
     50.00      0.00      10.000000       0.040124       0.040124        23      22.0      23.0       0.222827
     50.00      5.00       5.626900       0.035958       0.035958        23      22.0      23.0       0.222827
