   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.122      27.420940      37.996189      19.696190     10.00      5.00   257.929    52.586  -151.124    -50.00    -20.00    0
    2     0.100      27.307779      38.006111      19.696190     10.00      5.00   239.473    56.841    94.465    -40.00    -20.00    0
    3     0.158      27.194580      38.015930      19.696190     10.00      5.00   258.467    21.614   -86.708    -30.00    -20.00    0
    4     0.155      27.081360      38.025639      19.696190     10.00      5.00   306.602    83.611   -30.335    -20.00    -20.00    0
    5     0.172      26.968109      38.035240      19.696190     10.00      5.00   150.517    54.695    24.276    -10.00    -20.00    1
    6     0.143      26.854820      38.044731      19.696190     10.00      5.00   205.387    17.677    88.722      0.00    -20.00    1
    7     0.161      26.741529      38.054111      19.696190     10.00      5.00   254.955    54.607   157.948     10.00    -20.00    0
    8     0.212      26.628189      38.063389      19.696190     10.00      5.00   282.405    79.354   124.391     20.00    -20.00    0
    9     0.173      26.514820      38.072552      19.696190     10.00      5.00   132.568    20.151    76.358     30.00    -20.00    1
   10     0.221      26.401421      38.081612      19.696190     10.00      5.00   276.036    44.248   108.135     40.00    -20.00    0
   11     0.181      26.288000      38.090561      19.696190     10.00      5.00   255.833    41.092   122.501     50.00    -20.00    0
   12     0.199      27.415421      37.957031      17.272141     10.00      5.00   250.857    50.101  -141.300    -50.00    -15.00    0
   13     0.126      27.302320      37.966949      17.272141     10.00      5.00   336.117    66.769    -8.282    -40.00    -15.00    1
   14     0.347      27.189190      37.976761      17.272141     10.00      5.00   268.105    25.582   -72.032    -30.00    -15.00    0
   15     0.329      27.076031      37.986469      17.272141     10.00      5.00   306.303    65.600   -24.167    -20.00    -15.00    0
   16     0.354      26.962830      37.996059      17.272141     10.00      5.00   241.189    76.436  -138.315    -10.00    -15.00    0
   17     0.298      26.849609      38.005550      17.272141     10.00      5.00   256.225    59.489  -161.015      0.00    -15.00    0
   18     0.359      26.736370      38.014931      17.272141     10.00      5.00   270.205    79.601   134.149     10.00    -15.00    0
   19     0.336      26.623091      38.024200      17.272141     10.00      5.00   280.924    84.925   122.191     20.00    -15.00    0
