   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1      26.261110      37.822941      27.492390     0.149   335.525    89.354   -18.391    65.740    71.611  -179.319    -50.00    -20.00    0
    2      26.317841      37.820850      27.492390     0.220   191.563    52.782    72.300    39.381    40.655   111.816    -45.00    -20.00    1
    3      26.374559      37.818722      27.492390     0.351    70.731    46.304    99.804   236.686    44.565    79.895    -40.00    -20.00    0
    4      26.431280      37.816570      27.492390     0.386    64.070    46.773    79.914   258.629    44.161   100.554    -35.00    -20.00    0
    5      26.488001      37.814400      27.492390     0.360    47.023    51.117    55.509   274.607    50.089   125.078    -30.00    -20.00    0
    6      26.544720      37.812191      27.492390     0.329    45.280    54.929    51.776   279.167    49.987   131.390    -25.00    -20.00    0
    7      26.601431      37.809959      27.492390     0.235    52.339    56.165    47.380   291.162    52.321   135.290    -20.00    -20.00    0
    8      26.658140      37.807701      27.492390     0.199    69.639    46.528    47.365   302.870    57.731   125.544    -15.00    -20.00    0
    9      26.714840      37.805408      27.492390     0.279    79.355    50.676    65.677   294.855    45.178   116.693    -10.00    -20.00    0
   10      26.771540      37.803101      27.492390     0.279    91.728    50.248    81.410   285.020    40.519   100.181     -5.00    -20.00    0
   11      26.828239      37.800758      27.492390     0.225    85.548    50.774    70.771   294.429    42.993   111.972      0.00    -20.00    0
   12      26.884930      37.798389      27.492390     0.184    87.484    48.260    64.299   303.348    47.751   115.923      5.00    -20.00    0
   13      26.941620      37.796001      27.492390     0.226   198.185    30.171    96.613    10.547    60.050    86.170     10.00    -20.00    1
   14      26.998310      37.793571      27.492390     0.247    38.206    52.223    70.215   248.628    41.948   113.593     15.00    -20.00    0
   15      27.054991      37.791119      27.492390     0.299    66.739    47.742    81.233   259.655    42.990    99.522     20.00    -20.00    0
   16      27.111670      37.788639      27.492390     0.423   100.697    52.370   120.303   236.950    46.862    56.795     25.00    -20.00    0
   17      27.168341      37.786140      27.492390     0.339    96.876    55.613   111.327   242.220    39.760    62.013     30.00    -20.00    0
   18      27.225019      37.783611      27.492390     0.240    90.187    46.132   102.649   252.243    45.296    77.167     35.00    -20.00    0
   19      27.281679      37.781052      27.492390     0.253   177.882    12.212   102.108   345.502    78.063    87.401     40.00    -20.00    1
   20      27.338350      37.778461      27.492390     0.338   212.146     9.576   134.498   347.245    83.186    83.256     45.00    -20.00    1
   21      27.395010      37.775841      27.492390     0.216   177.078    12.500    75.982    11.423    77.878    93.074     50.00    -20.00    1
   22      26.262381      37.844761      23.119301     0.196   334.635    89.090   -11.699    64.823    78.302  -179.071    -50.00    -15.00    0
   23      26.319130      37.842659      23.119301     0.335   192.127    58.082    75.718    37.837    34.656   111.606    -45.00    -15.00    1
   24      26.375870      37.840542      23.119301     0.409    54.827    34.292   103.932   218.114    56.850    80.676    -40.00    -15.00    0
   25      26.432610      37.838390      23.119301     0.403    47.536    43.820    71.986   251.798    48.818   106.529    -35.00    -15.00    0
   26      26.489340      37.836208      23.119301     0.394    23.708    61.288    43.088   269.511    53.192   143.129    -30.00    -15.00    0
   27      26.546070      37.834011      23.119301     0.325   271.491    51.817   152.246    19.511    68.528    41.627    -25.00    -15.00    0
   28      26.602800      37.831772      23.119301     0.217   166.534    83.691   -83.771   301.726     8.857  -134.464    -20.00    -15.00    0
   29      26.659519      37.829510      23.119301     0.251    51.969    16.989    -7.198   148.856    87.902  -106.863    -15.00    -15.00    0
   30      26.716249      37.827229      23.119301     0.228   314.883    86.878   127.389    48.958    37.500     5.132    -10.00    -15.00    0
   31      26.772961      37.824909      23.119301     0.186   308.814    77.338   138.467    49.802    49.690    16.706     -5.00    -15.00    0
   32      26.829679      37.822571      23.119301     0.158    77.960    29.466    44.351   307.558    69.887   111.999      0.00    -15.00    0
   33      26.886391      37.820202      23.119301     0.203   158.817    18.231    82.447   346.764    71.933    92.479      5.00    -15.00    1
   34      26.943090      37.817799      23.119301     0.273   190.368    24.267   104.824   354.180    66.590    83.420     10.00    -15.00    1
   35      26.999800      37.815380      23.119301     0.285   212.804    30.879   129.671   348.785    66.731    69.106     15.00    -15.00    1
   36      27.056499      37.812931      23.119301     0.287    45.260    49.186    68.313   256.579    45.311   113.166     20.00    -15.00    0
   37      27.113190      37.810452      23.119301     0.441   103.818    56.655   128.507   228.457    49.178    46.583     25.00    -15.00    0
