   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
    1     15.00     11.00     0.149      26.261110      37.822941      27.492390      5.00      5.00    65.740    71.611  -179.319    -50.00    -20.00
    2     13.00     12.00     0.220      26.317841      37.820850      27.492390      5.00      5.00   191.563    52.782    72.300    -45.00    -20.00
    3     12.00     10.00     0.351      26.374559      37.818722      27.492390      5.00      5.00    70.731    46.304    99.804    -40.00    -20.00
    4     11.00     12.00     0.386      26.431280      37.816570      27.492390      5.00      5.00    64.070    46.773    79.914    -35.00    -20.00
    5      9.00     13.00     0.360      26.488001      37.814400      27.492390      5.00      5.00   274.607    50.089   125.078    -30.00    -20.00
    6      8.00     11.00     0.329      26.544720      37.812191      27.492390      5.00      5.00   279.167    49.987   131.390    -25.00    -20.00
    7      7.00     10.00     0.235      26.601431      37.809959      27.492390      5.00      5.00    52.339    56.165    47.380    -20.00    -20.00
    8      6.00     10.00     0.199      26.658140      37.807701      27.492390      5.00      5.00    69.639    46.528    47.365    -15.00    -20.00
    9      5.00     12.00     0.279      26.714840      37.805408      27.492390      5.00      5.00    79.355    50.676    65.677    -10.00    -20.00
   10      5.00     11.00     0.279      26.771540      37.803101      27.492390      5.00      5.00    91.728    50.248    81.410     -5.00    -20.00
   11      5.00     10.00     0.225      26.828239      37.800758      27.492390      5.00      5.00    85.548    50.774    70.771      0.00    -20.00
   12      5.00     11.00     0.184      26.884930      37.798389      27.492390      5.00      5.00    87.484    48.260    64.299      5.00    -20.00
   13      5.00     11.00     0.226      26.941620      37.796001      27.492390      5.00      5.00   198.185    30.171    96.613     10.00    -20.00
   14      6.00     12.00     0.247      26.998310      37.793571      27.492390      5.00      5.00   248.628    41.948   113.593     15.00    -20.00
   15      7.00     12.00     0.299      27.054991      37.791119      27.492390      5.00      5.00    66.739    47.742    81.233     20.00    -20.00
   16      8.00     10.00     0.423      27.111670      37.788639      27.492390      5.00      5.00   100.697    52.370   120.303     25.00    -20.00
   17      9.00      8.00     0.339      27.168341      37.786140      27.492390      5.00      5.00    96.876    55.613   111.327     30.00    -20.00
   18     11.00      5.00     0.240      27.225019      37.783611      27.492390      5.00      5.00    90.187    46.132   102.649     35.00    -20.00
   19     11.00     12.00     0.253      27.281679      37.781052      27.492390      5.00      5.00   177.882    12.212   102.108     40.00    -20.00
   20     13.00     12.00     0.338      27.338350      37.778461      27.492390      5.00      5.00   212.146     9.576   134.498     45.00    -20.00
   21     15.00     12.00     0.216      27.395010      37.775841      27.492390      5.00      5.00   177.078    12.500    75.982     50.00    -20.00
   22     14.00     12.00     0.196      26.262381      37.844761      23.119301      5.00      5.00    64.823    78.302  -179.071    -50.00    -15.00
   23     12.00     12.00     0.335      26.319130      37.842659      23.119301      5.00      5.00   192.127    58.082    75.718    -45.00    -15.00
   24     12.00     11.00     0.409      26.375870      37.840542      23.119301      5.00      5.00    54.827    34.292   103.932    -40.00    -15.00
   25     10.00     11.00     0.403      26.432610      37.838390      23.119301      5.00      5.00   251.798    48.818   106.529    -35.00    -15.00
   26      8.00     13.00     0.394      26.489340      37.836208      23.119301      5.00      5.00   269.511    53.192   143.129    -30.00    -15.00
   27      8.00     12.00     0.325      26.546070      37.834011      23.119301      5.00      5.00   271.491    51.817   152.246    -25.00    -15.00
   28      6.00     12.00     0.217      26.602800      37.831772      23.119301      5.00      5.00   301.726     8.857  -134.464    -20.00    -15.00
   29      5.00     12.00     0.251      26.659519      37.829510      23.119301      5.00      5.00    51.969    16.989    -7.198    -15.00    -15.00
   30      5.00     12.00     0.228      26.716249      37.827229      23.119301      5.00      5.00   314.883    86.878   127.389    -10.00    -15.00
   31      4.00     12.00     0.186      26.772961      37.824909      23.119301      5.00      5.00   308.814    77.338   138.467     -5.00    -15.00
   32      4.00     11.00     0.158      26.829679      37.822571      23.119301      5.00      5.00    77.960    29.466    44.351      0.00    -15.00
   33      4.00     12.00     0.203      26.886391      37.820202      23.119301      5.00      5.00   158.817    18.231    82.447      5.00    -15.00
   34      5.00     12.00     0.273      26.943090      37.817799      23.119301      5.00      5.00   190.368    24.267   104.824     10.00    -15.00
   35      5.00     11.00     0.285      26.999800      37.815380      23.119301      5.00      5.00   212.804    30.879   129.671     15.00    -15.00
   36      6.00     10.00     0.287      27.056499      37.812931      23.119301      5.00      5.00   256.579    45.311   113.166     20.00    -15.00
   37      8.00     12.00     0.441      27.113190      37.810452      23.119301      5.00      5.00   103.818    56.655   128.507     25.00    -15.00
   38      8.00     12.00     0.372      27.169880      37.807941      23.119301      5.00      5.00    97.347    58.985   111.969     30.00    -15.00
   39     10.00     10.00     0.142      27.226570      37.805408      23.119301      5.00      5.00    59.985    49.673    77.831     35.00    -15.00
   40     12.00     11.00     0.329      27.283260      37.802849      23.119301      5.00      5.00   201.866     9.149   113.238     40.00    -15.00
   41     12.00     12.00     0.461      27.339939      37.800259      23.119301      5.00      5.00   227.121     7.916   142.635     45.00    -15.00
   42     14.00     12.00     0.284      27.396610      37.797649      23.119301      5.00      5.00   229.047    15.056   123.562     50.00    -15.00
   43     15.00     11.00     0.195      26.263651      37.866570      18.746201      5.00      5.00    61.262    56.574  -178.757    -50.00    -10.00
   44     12.00     13.00     0.367      26.320419      37.864479      18.746201      5.00      5.00   178.655    70.521    72.024    -45.00    -10.00
   45     11.00     11.00     0.349      26.377171      37.862350      18.746201      5.00      5.00   208.608    69.616    92.188    -40.00    -10.00
   46      9.00     13.00     0.294      26.433929      37.860199      18.746201      5.00      5.00   250.968    85.144   146.582    -35.00    -10.00
   47      9.00     11.00     0.430      26.490681      37.858028      18.746201      5.00      5.00   123.360    71.096   -79.523    -30.00    -10.00
   48      8.00      9.00     0.545      26.547430      37.855820      18.746201      5.00      5.00   129.419    67.200   -68.843    -25.00    -10.00
   49      6.00     10.00     0.575      26.604170      37.853588      18.746201      5.00      5.00   121.333    67.111   -76.542    -20.00    -10.00
   50      5.00     10.00     0.559      26.660910      37.851330      18.746201      5.00      5.00   115.599    69.197   -80.581    -15.00    -10.00
   51      3.00     10.00     0.464      26.717649      37.849041      18.746201      5.00      5.00   113.243    64.983   -93.433    -10.00    -10.00
   52      2.00     12.00     0.563      26.774389      37.846722      18.746201      5.00      5.00   105.342    61.464   -93.900     -5.00    -10.00
   53      2.00     10.00     0.510      26.831120      37.844379      18.746201      5.00      5.00   107.317    58.632   -83.074      0.00    -10.00
   54      3.00     11.00     0.472      26.887840      37.842010      18.746201      5.00      5.00   118.144    59.135   -57.240      5.00    -10.00
