      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -50.00    -20.00      19.696190       0.027004       0.027004        20      19.0      20.0       0.284096     117.830002     353.329987      29.250000      72.400002      38.220001     113.750000
    -50.00    -15.00      17.272141       0.031319       0.031319        20      19.0      20.0       0.284096     110.790001       9.470000      32.500000      82.870003      13.350000     121.800003
    -50.00    -10.00      14.848100       0.024619       0.024619        20      19.0      20.0       0.284096     108.000000     208.110001      57.189999      74.760002     -18.219999    -145.830002
    -50.00     -5.00      12.424050       0.019168       0.019168        20      19.0      20.0       0.284096     114.440002     229.639999      52.470001      61.000000     -37.689999    -135.850006
    -50.00      0.00      10.000000       0.018116       0.018116        20      19.0      20.0       0.284096     122.589996     247.199997      41.740002      63.130001     -42.759998    -123.230003
    -50.00      5.00       7.575950       0.016553       0.016553        20      19.0      20.0       0.284096     139.630005     258.369995      42.580002      66.160004     -36.680000    -126.389999
    -45.00    -20.00      19.696190       0.035034       0.035034        20      19.0      20.0       0.284096     117.339996     351.070007      30.260000      70.959999      40.349998     113.970001
    -45.00    -15.00      17.272141       0.043660       0.043660        20      19.0      20.0       0.284096     110.379997       7.780000      30.389999      82.709999      14.530000     119.580002
    -45.00    -10.00      14.848100       0.038843       0.038843        20      19.0      20.0       0.284096     109.889999     210.000000      45.610001      79.830002     -14.300000    -134.710007
    -45.00     -5.00      12.424050       0.032709       0.032709        20      19.0      20.0       0.284096     116.559998     238.529999      41.980000      64.529999     -40.020000    -124.570000
    -45.00      0.00      10.000000       0.029750       0.029750        20      19.0      20.0       0.284096     126.230003     257.950012      39.650002      61.119999     -49.189999    -118.440002
    -45.00      5.00       7.575950       0.027146       0.027146        20      19.0      20.0       0.284096     148.539993     271.179993      40.470001      65.290001     -40.099998    -123.129997
    -40.00    -20.00      19.696190       0.034325       0.034325        20      19.0      20.0       0.284096     113.800003     338.260010      27.950001      69.250000      49.090000     109.169998
    -40.00    -15.00      17.272141       0.042957       0.042957        20      19.0      20.0       0.284096     117.059998     356.519989      21.350000      78.760002      32.349998     108.279999
    -40.00    -10.00      14.848100       0.036188       0.036188        20      19.0      20.0       0.284096     113.660004     217.600006      43.849998      76.970001     -18.990000    -132.250000
    -40.00     -5.00      12.424050       0.034305       0.034305        20      19.0      20.0       0.284096     125.820000     250.630005      40.430000      64.059998     -42.410000    -122.169998
    -40.00      0.00      10.000000       0.030241       0.030241        20      19.0      20.0       0.284096     137.210007     268.269989      42.830002      58.669998     -49.900002    -120.839996
    -40.00      5.00       7.575950       0.029211       0.029211        20      19.0      20.0       0.284096     160.779999     270.980011      36.950001      75.440002     -24.719999    -124.349998
    -35.00    -20.00      19.696190       0.037698       0.037698        20      19.0      20.0       0.284096     100.239998     318.859985      20.879999      73.400002      53.250000     102.860001
    -35.00    -15.00      17.272141       0.036397       0.036397        20      19.0      20.0       0.284096     134.440002     336.429993      11.810000      79.019997      68.430000      94.400002
    -35.00    -10.00      14.848100       0.023903       0.023903        20      19.0      20.0       0.284096     130.119995     239.710007      55.509998      63.980000     -32.160000    -140.940002
    -35.00     -5.00      12.424050       0.029334       0.029334        20      19.0      20.0       0.284096     139.580002     265.399994      41.730000      62.439999     -44.040001    -122.669998
    -35.00      0.00      10.000000       0.024811       0.024811        20      19.0      20.0       0.284096     135.229996     273.220001      50.700001      47.759998     -60.299999    -121.190002
    -35.00      5.00       7.575950       0.024610       0.024610        20      19.0      20.0       0.284096      82.809998     187.039993      81.419998      31.530001     120.459999      16.580000
    -30.00    -20.00      19.696190       0.041185       0.041185        20      19.0      20.0       0.284096      83.290001     308.980011      12.070000      81.510002      44.950001      98.610001
    -30.00    -15.00      17.272141       0.018819       0.018819        20      19.0      20.0       0.284096     109.779999     321.799988      83.779999       7.320000     -93.879997     -58.200001
    -30.00    -10.00      14.848100       0.020581       0.020581        20      19.0      20.0       0.284096     133.910004     259.339996      67.680000      35.299999     -61.910000    -138.919998
    -30.00     -5.00      12.424050       0.014622       0.014622        20      19.0      20.0       0.284096     358.059998     261.920013      84.779999      40.509998      49.770000     171.949997
    -30.00      0.00      10.000000       0.010974       0.010974        20      19.0      20.0       0.284096     156.940002     267.339996      70.209999      45.910000     -47.689999    -151.869995
    -30.00      5.00       7.575950       0.006823       0.006823        20      19.0      20.0       0.284096     151.679993      61.650002      89.860001      76.830002      13.170000     179.860001
    -25.00    -20.00      19.696190       0.012339       0.012339        20      19.0      20.0       0.284096     112.480003     219.800003      86.559998      11.400000     -79.120003    -162.350006
    -25.00    -15.00      17.272141       0.000510       0.000510        20      19.0      20.0       0.284096     100.940002     280.570007      68.709999      21.290001     -89.870003     -90.339996
    -25.00    -10.00      14.848100       0.000000       0.000000        20      19.0      20.0       0.284096     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
