,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number
0,5.0,5.0,2.4773124421198793,182.415,13.201,91.291,0.208,38.01253776293713,27.431968128678324,1
1,5.0,5.0,2.4773124421198793,153.792,10.798,71.25,0.238,38.01279676369965,27.375018228847193,2
2,5.0,5.0,2.4773124421198793,304.826,65.254,99.868,0.207,38.01303776440916,27.318068322055677,3
3,5.0,5.0,2.4773124421198793,295.215,54.708,108.688,0.283,38.013239765003874,27.261119400181492,4
4,5.0,5.0,2.4773124421198793,279.495,46.417,93.164,0.283,38.01341876553088,27.204167469412447,5
5,5.0,5.0,2.4773124421198793,270.03,64.078,65.887,0.185,38.01356776596953,27.147218527040916,6
6,5.0,5.0,2.4773124421198793,6.923,51.424,159.962,0.093,38.013697766352266,27.09026857732114,7
7,5.0,5.0,2.4773124421198793,22.671,33.032,164.612,0.167,38.013788766620166,27.03331861251749,8
8,5.0,5.0,2.4773124421198793,349.054,8.512,142.093,0.182,38.01385776682332,26.976369639204936,9
9,5.0,5.0,2.4773124421198793,183.071,53.224,32.299,0.134,38.01389976694698,26.919417655449514,10
10,5.0,5.0,2.4773124421198793,263.014,64.258,147.749,0.114,38.01390676696759,26.862477658156944,11
11,5.0,5.0,2.4773124421198793,271.842,75.733,135.392,0.185,38.01389976694698,26.805518655449514,12
12,5.0,5.0,2.4773124421198793,15.649,27.42,-0.947,0.248,38.01385776682332,26.748568639204933,13
13,5.0,5.0,2.4773124421198793,280.153,84.928,124.4,0.24,38.013788766620166,26.69161961251749,14
14,5.0,5.0,2.4773124421198793,273.816,77.792,117.627,0.177,38.013697766352266,26.63466757732114,15
15,5.0,5.0,2.4773124421198793,358.081,22.817,-4.972,0.178,38.01356776596953,26.57771852704092,16
16,5.0,5.0,2.4773124421198793,255.484,72.565,133.212,0.163,38.01341876553088,26.520768469412445,17
17,5.0,5.0,2.4773124421198793,221.712,48.577,77.36,0.175,38.013239765003874,26.46381840018149,18
18,5.0,5.0,2.4773124421198793,191.197,64.444,57.337,0.214,38.01303776440916,26.406869322055677,19
19,5.0,5.0,2.4773124421198793,207.155,70.314,76.853,0.185,38.01279676369965,26.349917228847193,20
20,5.0,5.0,2.4773124421198793,242.765,77.064,133.798,0.085,38.01253776293713,26.292968128678325,21
21,5.0,5.0,2.4773124421198793,193.149,13.12,103.592,0.196,37.97656865705696,27.431685230089645,22
22,5.0,5.0,2.4773124421198793,161.154,11.574,69.783,0.273,37.976828657822196,27.374754330465787,23
23,5.0,5.0,2.4773124421198793,142.458,19.274,66.881,0.3,37.9770576584962,27.317833418875082,24
24,5.0,5.0,2.4773124421198793,304.974,56.503,116.973,0.285,37.97726665911135,27.260914499563917,25
25,5.0,5.0,2.4773124421198793,292.35,43.653,102.398,0.299,37.977449659649956,27.203995570215593,26
26,5.0,5.0,2.4773124421198793,274.476,50.31,58.043,0.233,37.977598660088496,27.147064627741205,27
27,5.0,5.0,2.4773124421198793,8.08,50.019,166.119,0.21,37.9777166604358,27.090143673298705,28
28,5.0,5.0,2.4773124421198793,19.122,37.772,159.866,0.219,37.977819660738966,27.033224713065213,29
29,5.0,5.0,2.4773124421198793,166.143,45.82,21.801,0.204,37.97788866094205,26.976294739705022,30
30,5.0,5.0,2.4773124421198793,74.721,86.362,-179.131,0.231,37.977926661053914,26.91937575437626,31
31,5.0,5.0,2.4773124421198793,87.732,89.954,-153.764,0.282,37.97793866108923,26.86246375900929,32
32,5.0,5.0,2.4773124421198793,276.048,86.755,137.575,0.357,37.977926661053914,26.805535754376262,33
33,5.0,5.0,2.4773124421198793,283.561,89.532,126.001,0.402,37.97788866094205,26.748614739705022,34
34,5.0,5.0,2.4773124421198793,12.644,32.743,-2.672,0.395,37.977819660738966,26.691685713065212,35
35,5.0,5.0,2.4773124421198793,9.139,22.512,-12.976,0.343,37.9777166604358,26.634764673298704,36
36,5.0,5.0,2.4773124421198793,328.404,8.864,-59.26,0.315,37.977598660088496,26.577845627741205,37
